reportdate	servicecode	Model	invoice_code	qty	rate	amount	TestDate	TrackingID	designator	invoice_number	Palletsize	PalletCount	FailureDescription	PartDescription	invoicetype	RepairActivityID	Invoice_Reference
05/02/2024	SRERET	100002419	ROKU	3	0.5	1.5	05/02/2024	2,83,128	Contec : Contec RMA				Return Authorization #451181	1035 Walmart Inc	OEM		2884
05/02/2024	SRERET	100002419	ROKU	2	0.5	1	05/02/2024	2,83,129	Contec : Contec RMA				Return Authorization #451181	1035 Walmart Inc	OEM		2884
05/02/2024	SRERET	100015705	ROKU	2	0.5	1	05/02/2024	2,83,128	Contec : Contec RMA				Return Authorization #451181	1035 Walmart Inc	OEM		2884
05/02/2024	SRERET	100015706	ROKU	3	0.5	1.5	05/02/2024	2,83,128	Contec : Contec RMA				Return Authorization #451181	1035 Walmart Inc	OEM		2884
05/02/2024	SRERET	3800RW	ROKU	1	0.5	0.5	05/02/2024	2,83,128	Contec : Contec RMA				Return Authorization #451181	1035 Walmart Inc	OEM		2884
05/02/2024	SRERET	3820R	ROKU	2	0.5	1	05/02/2024	2,83,134	Contec : Contec RMA				Return Authorization #448635	1095 Amazon.com, Inc.	OEM		2884
05/02/2024	SRERET	3820R	ROKU	1	0.5	0.5	05/02/2024	2,83,140	Contec : Contec RMA				Return Authorization #528143	3405436 Customer Service : Randall K Norton	OEM		2884
05/02/2024	SRERET	3820R2	ROKU	1	0.5	0.5	05/02/2024	2,83,119	Contec : Contec RMA				Return Authorization #528880	3380498 Customer Service : Gerald Dunn	OEM		2884
05/02/2024	SRERET	3820R2	ROKU	1	0.5	0.5	05/02/2024	2,83,139	Contec : Contec RMA				Return Authorization #512968	3320339 Customer Service : Mohammad Durrani	OEM		2884
05/02/2024	SRERET	3820R2	ROKU	1	0.5	0.5	05/02/2024	2,83,145	Contec : Contec RMA				Return Authorization #528898	3408991 Customer Service : Stephanie Woolf	OEM		2884
05/02/2024	SRERET	3820R2	ROKU	1	0.5	0.5	05/02/2024	2,83,165	Contec : Contec RMA				Return Authorization #519433	3366251 Customer Service : Craig Wood	OEM		2884
05/02/2024	SRERET	3820R2	ROKU	1	0.5	0.5	05/02/2024	2,83,180	Contec : Contec RMA				Return Authorization #530924	3345757 Customer Service : Mike Turk	OEM		2884
05/02/2024	SRERET	3820R2	ROKU	1	0.5	0.5	05/02/2024	2,83,205	Contec : Contec RMA				Return Authorization #530122	3414502 Customer Service : James Rupert	OEM		2884
05/02/2024	SRERET	3820RW2	ROKU	131	0.5	65.5	05/02/2024	2,83,128	Contec : Contec RMA				Return Authorization #451181	1035 Walmart Inc	OEM		2884
05/02/2024	SRERET	3820RW2	ROKU	3	0.5	1.5	05/02/2024	2,83,129	Contec : Contec RMA				Return Authorization #451181	1035 Walmart Inc	OEM		2884
05/02/2024	SRERET	3920RW	ROKU	1	0.5	0.5	05/02/2024	2,83,128	Contec : Contec RMA				Return Authorization #451181	1035 Walmart Inc	OEM		2884
05/02/2024	SRERET	3920RW-SW	ROKU	54	0.5	27	05/02/2024	2,83,128	Contec : Contec RMA				Return Authorization #451181	1035 Walmart Inc	OEM		2884
05/02/2024	SRERET	3920RW-SW	ROKU	6	0.5	3	05/02/2024	2,83,129	Contec : Contec RMA				Return Authorization #451181	1035 Walmart Inc	OEM		2884
05/02/2024	SRERET	3930RW	ROKU	1	0.5	0.5	05/02/2024	2,83,128	Contec : Contec RMA				Return Authorization #451181	1035 Walmart Inc	OEM		2884
05/02/2024	SRERET	3930S4	ROKU	99	0.5	49.5	05/02/2024	2,83,128	Contec : Contec RMA				Return Authorization #451181	1035 Walmart Inc	OEM		2884
05/02/2024	SRERET	3930S4	ROKU	3	0.5	1.5	05/02/2024	2,83,129	Contec : Contec RMA				Return Authorization #451181	1035 Walmart Inc	OEM		2884
05/02/2024	SRERET	3940RW	ROKU	1	0.5	0.5	05/02/2024	2,83,128	Contec : Contec RMA				Return Authorization #451181	1035 Walmart Inc	OEM		2884
05/02/2024	SRERET	3940RW2	ROKU	43	0.5	21.5	05/02/2024	2,83,128	Contec : Contec RMA				Return Authorization #451181	1035 Walmart Inc	OEM		2884
05/02/2024	SRERET	3941R	ROKU	1	0.5	0.5	05/02/2024	2,83,134	Contec : Contec RMA				Return Authorization #448635	1095 Amazon.com, Inc.	OEM		2884
05/02/2024	SRERET	3941R2	ROKU	1	0.5	0.5	05/02/2024	2,83,162	Contec : Contec RMA				Return Authorization #529377	3411138 Customer Service : Penny Russell	OEM		2884
05/02/2024	SRERET	3941R2	ROKU	1	0.5	0.5	05/02/2024	2,83,183	Contec : Contec RMA				Return Authorization #528261	3405759 Customer Service : Joe Zahorsky	OEM		2884
05/02/2024	SRERET	3941R2	ROKU	1	0.5	0.5	05/02/2024	2,83,186	Contec : Contec RMA				Return Authorization #529220	3410270 Customer Service : Martyn North	OEM		2884
05/02/2024	SRERET	3941RW	ROKU	1	0.5	0.5	05/02/2024	2,83,121	Contec : Contec RMA				Return Authorization #527188	3400178 Customer Service : Dina Mc Guire	OEM		2884
05/02/2024	SRERET	3941RW	ROKU	4	0.5	2	05/02/2024	2,83,129	Contec : Contec RMA				Return Authorization #451181	1035 Walmart Inc	OEM		2884
05/02/2024	SRERET	3941RW2	ROKU	75	0.5	37.5	05/02/2024	2,83,128	Contec : Contec RMA				Return Authorization #451181	1035 Walmart Inc	OEM		2884
05/02/2024	SRERET	3941RW2	ROKU	8	0.5	4	05/02/2024	2,83,129	Contec : Contec RMA				Return Authorization #451181	1035 Walmart Inc	OEM		2884
05/02/2024	SRERET	3942RA2	ROKU	1	0.5	0.5	05/02/2024	2,83,127	Contec : Contec RMA				Return Authorization #448635	1095 Amazon.com, Inc.	OEM		2884
05/02/2024	SRERET	3960RW	ROKU	148	0.5	74	05/02/2024	2,83,128	Contec : Contec RMA				Return Authorization #451181	1035 Walmart Inc	OEM		2884
05/02/2024	SRERET	3960RW	ROKU	1	0.5	0.5	05/02/2024	2,83,175	Contec : Contec RMA				Return Authorization #528365	3405998 Customer Service : Scott Zuckerman	OEM		2884
05/02/2024	SRERET	4801RW	ROKU	20	0.5	10	05/02/2024	2,83,128	Contec : Contec RMA				Return Authorization #451181	1035 Walmart Inc	OEM		2884
05/02/2024	SRERET	4801RW	ROKU	1	0.5	0.5	05/02/2024	2,83,199	Contec : Contec RMA				Return Authorization #524589	3386911 Customer Service : John Williams	OEM		2884
05/02/2024	SRERET	4802R	ROKU	1	0.5	0.5	05/02/2024	2,83,189	Contec : Contec RMA				Return Authorization #528381	3406074 Customer Service : Kyle Donnelley	OEM		2884
05/02/2024	SRERET	4802R	ROKU	1	0.5	0.5	05/02/2024	2,83,194	Contec : Contec RMA				Return Authorization #528823	3367937 Customer Service : Matthew Warren	OEM		2884
05/02/2024	SRERET	4802RW	ROKU	17	0.5	8.5	05/02/2024	2,83,128	Contec : Contec RMA				Return Authorization #451181	1035 Walmart Inc	OEM		2884
05/02/2024	SRERET	9102R	ROKU	1	0.5	0.5	05/02/2024	2,83,122	Contec : Contec RMA				Return Authorization #527505	3402087 Customer Service : CATHERINE KING	OEM		2884
05/02/2024	SRERET	9102RW	ROKU	7	0.5	3.5	05/02/2024	2,83,128	Contec : Contec RMA				Return Authorization #451181	1035 Walmart Inc	OEM		2884
05/02/2024	SRERET	9102RW	ROKU	2	0.5	1	05/02/2024	2,83,129	Contec : Contec RMA				Return Authorization #451181	1035 Walmart Inc	OEM		2884
05/02/2024	SRERET	BC1000P2R	ROKU	1	0.5	0.5	05/02/2024	2,83,128	Contec : Contec RMA				Return Authorization #451181	1035 Walmart Inc	OEM		2884
05/02/2024	SRERET	BC1000R	ROKU	2	0.5	1	05/02/2024	2,83,128	Contec : Contec RMA				Return Authorization #451181	1035 Walmart Inc	OEM		2884
05/02/2024	SRERET	BC1000R	ROKU	1	0.5	0.5	05/02/2024	2,83,136	Contec : Contec RMA				Return Authorization #514087	3323941 Customer Service : LaTeisha Johnson	OEM		2884
05/02/2024	SRERET	BC1000R	ROKU	2	0.5	1	05/02/2024	2,83,148	Contec : Contec RMA				Return Authorization #528815	3408531 Customer Service : Chadwick Jones	OEM		2884
05/02/2024	SRERET	BS1000P4R	ROKU	3	0.5	1.5	05/02/2024	2,83,128	Contec : Contec RMA				Return Authorization #451181	1035 Walmart Inc	OEM		2884
05/02/2024	SRERET	BS1000R	ROKU	1	0.5	0.5	05/02/2024	2,83,128	Contec : Contec RMA				Return Authorization #451181	1035 Walmart Inc	OEM		2884
05/02/2024	SRERET	BS1000R	ROKU	2	0.5	1	05/02/2024	2,83,171	Contec : Contec RMA				Return Authorization #530026	3414025 Customer Service : T.L. Hall	OEM		2884
05/02/2024	SRERET	CF1000R	ROKU	6	0.5	3	05/02/2024	2,83,128	Contec : Contec RMA				Return Authorization #451181	1035 Walmart Inc	OEM		2884
05/02/2024	SRERET	CP1000R	ROKU	13	0.5	6.5	05/02/2024	2,83,128	Contec : Contec RMA				Return Authorization #451181	1035 Walmart Inc	OEM		2884
05/02/2024	SRERET	CP1000R	ROKU	1	0.5	0.5	05/02/2024	2,83,129	Contec : Contec RMA				Return Authorization #451181	1035 Walmart Inc	OEM		2884
05/02/2024	SRERET	CP1000R	ROKU	1	0.5	0.5	05/02/2024	2,83,151	Contec : Contec RMA				Return Authorization #521056	3321862 Customer Service : Kathleen Simpson	OEM		2884
05/02/2024	SRERET	CS1000P2R	ROKU	31	0.5	15.5	05/02/2024	2,83,128	Contec : Contec RMA				Return Authorization #451181	1035 Walmart Inc	OEM		2884
05/02/2024	SRERET	CS1000R	ROKU	67	0.5	33.5	05/02/2024	2,83,128	Contec : Contec RMA				Return Authorization #451181	1035 Walmart Inc	OEM		2884
05/02/2024	SRERET	CW1000R	ROKU	17	0.5	8.5	05/02/2024	2,83,128	Contec : Contec RMA				Return Authorization #451181	1035 Walmart Inc	OEM		2884
05/02/2024	SRERET	CW1000R	ROKU	1	0.5	0.5	05/02/2024	2,83,206	Contec : Contec RMA				Return Authorization #528432	3406168 Customer Service : Karen Borba	OEM		2884
05/02/2024	SRERET	CW2000R	ROKU	6	0.5	3	05/02/2024	2,83,128	Contec : Contec RMA				Return Authorization #451181	1035 Walmart Inc	OEM		2884
05/02/2024	SRERET	CW2000R	ROKU	2	0.5	1	05/02/2024	2,83,129	Contec : Contec RMA				Return Authorization #451181	1035 Walmart Inc	OEM		2884
05/02/2024	SRERET	CW2000R	ROKU	1	0.5	0.5	05/02/2024	2,83,141	Contec : Contec RMA				Return Authorization #519076	3365015 Customer Service : Tamara Davis	OEM		2884
05/02/2024	SRERET	CW2000R	ROKU	1	0.5	0.5	05/02/2024	2,83,202	Contec : Contec RMA				Return Authorization #528183	3405507 Customer Service : Destiny Bulgajewski	OEM		2884
05/02/2024	SRERET	DB1000R	ROKU	7	0.5	3.5	05/02/2024	2,83,128	Contec : Contec RMA				Return Authorization #451181	1035 Walmart Inc	OEM		2884
05/02/2024	SRERET	DB1000R	ROKU	1	0.5	0.5	05/02/2024	2,83,152	Contec : Contec RMA				Return Authorization #528589	3406471 Customer Service : Risha Murray	OEM		2884
05/02/2024	SRERET	DB1000R	ROKU	1	0.5	0.5	05/02/2024	2,83,155	Contec : Contec RMA				Return Authorization #516764	3347171 Customer Service : Latonya Greer	OEM		2884
05/02/2024	SRERET	DS1000R	ROKU	14	0.5	7	05/02/2024	2,83,128	Contec : Contec RMA				Return Authorization #451181	1035 Walmart Inc	OEM		2884
05/02/2024	SRERET	LS1016R	ROKU	2	0.5	1	05/02/2024	2,83,128	Contec : Contec RMA				Return Authorization #451181	1035 Walmart Inc	OEM		2884
05/02/2024	SRERET	LS2016R	ROKU	3	0.5	1.5	05/02/2024	2,83,128	Contec : Contec RMA				Return Authorization #451181	1035 Walmart Inc	OEM		2884
05/02/2024	SRERET	LS2032R	ROKU	1	0.5	0.5	05/02/2024	2,83,128	Contec : Contec RMA				Return Authorization #451181	1035 Walmart Inc	OEM		2884
05/02/2024	SRERET	PS1000P2R	ROKU	2	0.5	1	05/02/2024	2,83,128	Contec : Contec RMA				Return Authorization #451181	1035 Walmart Inc	OEM		2884
05/02/2024	SRERET	PS1000R	ROKU	2	0.5	1	05/02/2024	2,83,128	Contec : Contec RMA				Return Authorization #451181	1035 Walmart Inc	OEM		2884
05/02/2024	SRERET	PW1000R	ROKU	1	0.5	0.5	05/02/2024	2,83,128	Contec : Contec RMA				Return Authorization #451181	1035 Walmart Inc	OEM		2884
05/02/2024	SRERET	RCA1R	ROKU	1	0.5	0.5	05/02/2024	2,83,169	Contec : Contec RMA				Return Authorization #528180	3405491 Customer Service : Ajay Porwal	OEM		2884
05/02/2024	SRERET	RCA1R	ROKU	1	0.5	0.5	05/02/2024	2,83,190	Contec : Contec RMA				Return Authorization #527375	3394062 Customer Service : Lee Forbes	OEM		2884
05/02/2024	SRERET	RCA1R	ROKU	1	0.5	0.5	05/02/2024	2,83,201	Contec : Contec RMA				Return Authorization #528352	3405906 Customer Service : BEVERLY MACDOWELL	OEM		2884
05/02/2024	SRERET	RCA1RW	ROKU	70	0.5	35	05/02/2024	2,83,128	Contec : Contec RMA				Return Authorization #451181	1035 Walmart Inc	OEM		2884
05/02/2024	SRERET	RCA1RW	ROKU	2	0.5	1	05/02/2024	2,83,129	Contec : Contec RMA				Return Authorization #451181	1035 Walmart Inc	OEM		2884
05/02/2024	SRERET	RCAL7RW	ROKU	1	0.5	0.5	05/02/2024	2,83,128	Contec : Contec RMA				Return Authorization #451181	1035 Walmart Inc	OEM		2884
